price_history_id,product_id,effective_from,effective_to,mrp_inr,list_price_inr,change_reason,approved_by
1,1,2024-04-01,,293.0,241.56,BASE,Pricing Committee
2,2,2024-04-01,2026-03-23,329.22,243.49,BASE,Pricing Committee
3,3,2024-04-01,,365.0,269.17,BASE,Pricing Committee
4,4,2024-04-01,2026-03-30,318.06,247.24,BASE,Pricing Committee
5,5,2024-04-01,2026-01-19,20.46,15.93,BASE,Pricing Committee
6,6,2024-04-01,,435.0,331.52,BASE,Pricing Committee
7,7,2024-04-01,,281.0,203.49,BASE,Pricing Committee
8,8,2024-04-01,,100.0,83.97,BASE,Pricing Committee
9,9,2024-04-01,2026-01-12,71.61,59.03,BASE,Pricing Committee
10,10,2024-04-01,,52.0,40.69,BASE,Pricing Committee
11,11,2024-04-01,,320.0,227.37,BASE,Pricing Committee
12,12,2024-04-01,,356.0,266.3,BASE,Pricing Committee
13,13,2024-04-01,,153.0,104.91,BASE,Pricing Committee
14,14,2024-04-01,2025-11-07,166.47,118.96,BASE,Pricing Committee
15,15,2024-04-01,,445.0,320.45,BASE,Pricing Committee
16,16,2024-04-01,,407.0,335.5,BASE,Pricing Committee
17,17,2024-04-01,,133.0,91.68,BASE,Pricing Committee
18,18,2024-04-01,,457.0,326.38,BASE,Pricing Committee
19,19,2024-04-01,,139.0,98.32,BASE,Pricing Committee
20,20,2024-04-01,,39.0,31.79,BASE,Pricing Committee
21,21,2024-04-01,,347.0,269.09,BASE,Pricing Committee
22,22,2024-04-01,2025-06-22,32.55,25.15,BASE,Pricing Committee
23,23,2024-04-01,,100.0,72.11,BASE,Pricing Committee
24,24,2024-04-01,,177.0,126.11,BASE,Pricing Committee
25,25,2024-04-01,2026-04-02,88.35,64.25,BASE,Pricing Committee
26,26,2024-04-01,,401.0,281.76,BASE,Pricing Committee
27,27,2024-04-01,,211.0,174.82,BASE,Pricing Committee
28,28,2024-04-01,,191.0,142.05,BASE,Pricing Committee
29,29,2024-04-01,,98.0,74.07,BASE,Pricing Committee
30,30,2024-04-01,2025-12-12,401.76,308.56,BASE,Pricing Committee
31,31,2024-04-01,2025-11-03,388.74,295.01,BASE,Pricing Committee
32,32,2024-04-01,,96.0,67.38,BASE,Pricing Committee
33,33,2024-04-01,,442.0,337.32,BASE,Pricing Committee
34,34,2024-04-01,,314.0,253.97,BASE,Pricing Committee
35,35,2024-04-01,,297.0,220.23,BASE,Pricing Committee
36,36,2024-04-01,,223.0,161.0,BASE,Pricing Committee
37,37,2024-04-01,,125.0,99.33,BASE,Pricing Committee
38,38,2024-04-01,,346.0,265.85,BASE,Pricing Committee
39,39,2024-04-01,,163.0,122.87,BASE,Pricing Committee
40,40,2024-04-01,2025-04-06,342.24,255.02,BASE,Pricing Committee
41,41,2024-04-01,,91.0,62.1,BASE,Pricing Committee
42,42,2024-04-01,,269.0,201.48,BASE,Pricing Committee
43,43,2024-04-01,,320.0,233.98,BASE,Pricing Committee
44,44,2024-04-01,,136.0,104.07,BASE,Pricing Committee
45,45,2024-04-01,,103.0,75.65,BASE,Pricing Committee
46,46,2024-04-01,,424.0,296.88,BASE,Pricing Committee
47,47,2024-04-01,,304.0,235.13,BASE,Pricing Committee
48,48,2024-04-01,2025-08-13,304.11,211.8,BASE,Pricing Committee
49,49,2024-04-01,,289.0,221.27,BASE,Pricing Committee
50,50,2024-04-01,2025-08-19,358.98,253.4,BASE,Pricing Committee
51,51,2024-04-01,2025-06-12,283.65,211.73,BASE,Pricing Committee
52,52,2024-04-01,,288.0,237.85,BASE,Pricing Committee
53,53,2024-04-01,,464.0,333.59,BASE,Pricing Committee
54,54,2024-04-01,,214.0,156.49,BASE,Pricing Committee
55,55,2024-04-01,2025-11-22,115.32,86.12,BASE,Pricing Committee
56,56,2024-04-01,,194.0,161.84,BASE,Pricing Committee
57,57,2024-04-01,,343.0,277.87,BASE,Pricing Committee
58,58,2024-04-01,,204.0,146.56,BASE,Pricing Committee
59,59,2024-04-01,,385.0,268.37,BASE,Pricing Committee
60,60,2024-04-01,,203.0,148.75,BASE,Pricing Committee
61,61,2024-04-01,,460.0,382.32,BASE,Pricing Committee
62,62,2024-04-01,,398.0,286.2,BASE,Pricing Committee
63,63,2024-04-01,,417.0,294.31,BASE,Pricing Committee
64,64,2024-04-01,,255.0,176.66,BASE,Pricing Committee
65,65,2024-04-01,,37.0,28.68,BASE,Pricing Committee
66,66,2024-04-01,,276.0,215.68,BASE,Pricing Committee
67,67,2024-04-01,,37.0,27.93,BASE,Pricing Committee
68,68,2024-04-01,,395.0,269.72,BASE,Pricing Committee
69,69,2024-04-01,,290.0,219.36,BASE,Pricing Committee
70,70,2024-04-01,,402.0,291.22,BASE,Pricing Committee
71,71,2024-04-01,,200.0,139.42,BASE,Pricing Committee
