product_id,sku_code,product_name,brand,category,subcategory,pack_size_value,pack_size_uom,case_pack,mrp_inr,list_price_inr,gst_rate_pct,hsn_code,shelf_life_days,storage_temp_band,is_chilled,abc_class,min_order_qty_cases,unit_weight_grams,barcode_ean13,launch_date,discontinued_date,supplier_name,status,created_at,updated_at
1,SKU00001,Kestrel Milk 400g,Kestrel,Dairy,Milk,400.0,G,30,293.0,241.56,5.0,705727,20,CHILLED,1,B,1,380.5,8908691111486,2021-01-13,,Kestrel Foods Ltd,ACTIVE,,
2,SKU00002,Bluepeak Milk 750g,Bluepeak,Dairy,Milk,750.0,G,12,354.0,261.82,18.0,621302,9,CHILLED,1,C,2,785.6,8901243070797,2022-06-09,,Marwar Agro,ACTIVE,,
3,SKU00003,Hillfare Milk 1000g,Hillfare,Dairy,Milk,1000.0,G,30,365.0,269.17,0.0,576394,10,CHILLED,1,B,2,1131.3,8908427412106,2023-02-04,,Marwar Agro,ACTIVE,,
4,SKU00004,Kestrel Milk 500g,Kestrel,Dairy,Milk,500.0,G,24,342.0,265.85,12.0,956175,16,CHILLED,1,B,5,524.4,8906830903122,2020-12-04,,Bluepeak Beverages,ACTIVE,,
5,SKU00005,Bluepeak Milk 200g,Bluepeak,Dairy,Milk,200.0,G,24,22.0,17.13,0.0,192505,9,CHILLED,1,A,5,190.2,8902718691039,2023-01-24,,Kestrel Foods Ltd,ACTIVE,,
6,SKU00006,Hillfare Milk 500ml,Hillfare,Dairy,Milk,500.0,ML,8,435.0,331.52,18.0,615420,14,CHILLED,1,A,1,514.6,8901132967107,2021-10-14,,Coastline Marine,ACTIVE,,
7,SKU00007,Kestrel Select Milk 200kg,Kestrel,Dairy,Milk,200.0,KG,6,281.0,203.49,18.0,546431,13,CHILLED,1,B,1,221.5,8907572284102,2020-06-13,,Marwar Agro,ACTIVE,,
8,SKU00008,Coastline Milk 500ml,Coastline,Dairy,Milk,500.0,ML,24,100.0,83.97,12.0,317993,16,CHILLED,1,B,1,547.3,8901302039022,2024-10-22,,Kestrel Foods Ltd,ACTIVE,,
9,SKU00009,Bluepeak Curd 100g,Bluepeak,Dairy,Curd,100.0,G,12,77.0,63.47,5.0,715852,9,CHILLED,1,C,1,98.5,8907503711111,2023-08-02,,Coastline Marine,ACTIVE,,
10,SKU00010,Amrit Valley Curd 500ml,Amrit,Dairy,Curd,500.0,ML,6,52.0,40.69,0.0,883928,15,CHILLED,1,B,2,557.2,8907490210898,2024-01-28,,Marwar Agro,ACTIVE,,
