return_id,credit_note_number,order_id,order_line_id,outlet_id,product_id,return_date,return_qty,qty_uom,return_reason_code,credit_note_value_inr,approved_by,approval_date,disposition,status
1,CN0000001,18170,111428,424,241,2025-05-14,1.0,CASE,RT01_NEAR_EXPIRY,66.95,ASM,,SCRAP,APPROVED
2,CN0000002,25466,156181,439,19,2025-06-20,18.0,EACH,RT01_NEAR_EXPIRY,13.15,AUTO,,SCRAP,PENDING
3,CN0000003,33836,207107,352,321,2025-08-24,3.0,CASE,RT05_OVERSUPPLY,1417.26,AUTO,,RESTOCK,APPROVED
4,CN0000004,4789,29326,214,166,2025-02-22,4.0,CASE,RT01_NEAR_EXPIRY,1650.93,ASM,,SCRAP,APPROVED
5,CN0000005,16802,103079,467,122,2025-05-21,2.0,CASE,RT03_WRONG_SKU,36.88,AUTO,,VENDOR_RECOVERY,APPROVED
6,CN0000006,27119,166233,330,147,2025-07-13,7.0,EACH,RT01_NEAR_EXPIRY,31.48,ASM,,RESTOCK,APPROVED
7,CN0000007,37922,231553,399,115,2025-09-09,1.0,CASE,RT01_NEAR_EXPIRY,829.53,AUTO,,SCRAP,APPROVED
8,CN0000008,24802,152134,659,260,2025-06-20,1.0,CASE,RT01_NEAR_EXPIRY,313.42,ASM,,RESTOCK,APPROVED
9,CN0000009,45652,279196,283,49,2025-11-19,96.0,EACH,RT01_NEAR_EXPIRY,69.69,RSM,,SCRAP,PENDING
10,CN0000010,1248,7639,46,324,2025-02-07,3.0,CASE,RT06_COLD_CHAIN_BREACH,1164.49,RSM,,VENDOR_RECOVERY,APPROVED
11,CN0000011,44104,269915,479,112,2025-11-11,6.0,CASE,RT02_DAMAGE_TRANSIT,258.47,RSM,,VENDOR_RECOVERY,REJECTED
12,CN0000012,71840,439330,304,99,2026-04-17,3.0,CASE,RT06_COLD_CHAIN_BREACH,4853.87,ASM,,RESTOCK,PENDING
13,CN0000013,9191,56693,335,59,2025-04-01,33.0,EACH,RT02_DAMAGE_TRANSIT,104.6,AUTO,,SCRAP,APPROVED
14,CN0000014,50429,308096,79,331,2025-12-08,33.0,EACH,RT03_WRONG_SKU,29.46,ASM,,VENDOR_RECOVERY,APPROVED
15,CN0000015,44675,273381,220,266,2025-10-31,2.0,CASE,RT01_NEAR_EXPIRY,554.96,RSM,,RESTOCK,PENDING
16,CN0000016,68964,421792,446,215,2026-04-03,7.0,CASE,RT01_NEAR_EXPIRY,3786.19,ASM,,SCRAP,REJECTED
17,CN0000017,61319,374886,379,30,2026-02-08,92.0,EACH,RT01_NEAR_EXPIRY,156.38,RSM,,VENDOR_RECOVERY,REJECTED
18,CN0000018,46083,281773,692,82,2025-11-26,99.0,EACH,RT02_DAMAGE_TRANSIT,73.9,ASM,,RESTOCK,APPROVED
19,CN0000019,83104,507988,68,328,2026-06-28,9.0,CASE,RT01_NEAR_EXPIRY,891.16,AUTO,,SCRAP,APPROVED
20,CN0000020,58711,359001,642,23,2026-02-10,6.0,CASE,RT03_WRONG_SKU,108.03,ASM,,SCRAP,PENDING
21,CN0000021,20141,123613,213,76,2025-06-08,9.0,CASE,RT05_OVERSUPPLY,734.88,ASM,,SCRAP,PENDING
22,CN0000022,36046,220316,275,4,2025-09-23,3.0,CASE,RT01_NEAR_EXPIRY,1853.86,ASM,,RESTOCK,REJECTED
23,CN0000023,37295,227818,322,265,2025-09-29,3.0,CASE,RT04_QUALITY,102.98,ASM,,SCRAP,APPROVED
24,CN0000024,41518,253680,447,49,2025-10-08,1.0,CASE,RT05_OVERSUPPLY,783.49,AUTO,,SCRAP,REJECTED
25,CN0000025,70116,428686,606,194,2026-04-27,5.0,CASE,RT03_WRONG_SKU,481.59,RSM,,RESTOCK,REJECTED
26,CN0000026,54300,331761,595,223,2025-12-23,1.0,EACH,RT03_WRONG_SKU,116.08,ASM,,SCRAP,REJECTED
27,CN0000027,33893,207446,140,7,2025-09-07,5.0,CASE,RT06_COLD_CHAIN_BREACH,377.53,ASM,,SCRAP,REJECTED
28,CN0000028,38630,236047,284,331,2025-09-17,1.0,CASE,RT03_WRONG_SKU,3738.0,AUTO,,SCRAP,APPROVED
29,CN0000029,18737,114940,241,64,2025-05-12,2.0,CASE,RT01_NEAR_EXPIRY,147.21,RSM,,RESTOCK,APPROVED
30,CN0000030,23007,141103,98,187,2025-06-10,1.0,CASE,RT02_DAMAGE_TRANSIT,1180.06,RSM,,VENDOR_RECOVERY,REJECTED
31,CN0000031,52892,323176,5,111,2025-12-17,10.0,CASE,RT05_OVERSUPPLY,228.17,RSM,,VENDOR_RECOVERY,PENDING
32,CN0000032,35152,214895,47,193,2025-09-03,-1.0,CASE,RT01_NEAR_EXPIRY,248.18,RSM,,SCRAP,APPROVED
33,CN0000033,38716,236593,9,273,2025-10-07,64.0,EACH,RT03_WRONG_SKU,134.36,AUTO,,RESTOCK,PENDING
34,CN0000034,17059,104642,131,3,2025-05-17,27.0,EACH,RT01_NEAR_EXPIRY,75.24,AUTO,,VENDOR_RECOVERY,APPROVED
35,CN0000035,46149,282161,74,78,2025-11-24,2.0,CASE,RT02_DAMAGE_TRANSIT,1212.82,RSM,,SCRAP,PENDING
36,CN0000036,24456,150071,589,15,2025-07-01,5.0,CASE,RT03_WRONG_SKU,2642.74,ASM,,SCRAP,REJECTED
37,CN0000037,33576,205543,630,191,2025-08-14,2.0,CASE,RT01_NEAR_EXPIRY,60.81,ASM,,SCRAP,APPROVED
38,CN0000038,57972,354585,354,236,2026-02-08,2.0,CASE,RT05_OVERSUPPLY,703.66,ASM,,SCRAP,REJECTED
39,CN0000039,25237,154827,455,186,2025-07-04,5.0,CASE,RT01_NEAR_EXPIRY,324.68,ASM,,RESTOCK,REJECTED
40,CN0000040,46838,286410,611,221,2025-11-23,1.0,CASE,RT01_NEAR_EXPIRY,493.54,RSM,,RESTOCK,REJECTED
41,CN0000041,78031,476884,408,105,2026-05-27,1.0,CASE,RT04_QUALITY,69.35,AUTO,,SCRAP,APPROVED
42,CN0000042,56134,343087,427,256,2026-01-29,5.0,CASE,RT05_OVERSUPPLY,1056.1,AUTO,,SCRAP,REJECTED
43,CN0000043,68687,420065,232,209,2026-04-16,1.0,CASE,RT05_OVERSUPPLY,979.51,AUTO,,SCRAP,APPROVED
44,CN0000044,1825,11155,383,259,2025-02-02,-1.0,CASE,RT03_WRONG_SKU,3288.87,RSM,,SCRAP,APPROVED
45,CN0000045,9642,59541,49,190,2025-03-31,39.0,EACH,RT04_QUALITY,64.37,ASM,,VENDOR_RECOVERY,APPROVED
46,CN0000046,62252,380686,271,171,2026-03-10,2.0,CASE,RT02_DAMAGE_TRANSIT,1284.32,AUTO,,SCRAP,APPROVED
47,CN0000047,58132,355539,348,149,2026-01-21,3.0,CASE,RT02_DAMAGE_TRANSIT,1402.65,ASM,,RESTOCK,APPROVED
48,CN0000048,46454,284031,306,293,2025-11-23,1.0,CASE,RT01_NEAR_EXPIRY,50.88,RSM,,SCRAP,PENDING
49,CN0000049,50918,311121,398,238,2025-12-08,3.0,CASE,RT04_QUALITY,643.31,RSM,,SCRAP,APPROVED
50,CN0000050,8539,52484,712,109,2025-03-24,3.0,CASE,RT02_DAMAGE_TRANSIT,338.31,ASM,,RESTOCK,REJECTED
51,CN0000051,80314,490982,660,160,2026-06-20,8.0,CASE,RT04_QUALITY,1500.12,AUTO,,SCRAP,APPROVED
52,CN0000052,39504,241445,520,184,2025-10-03,1.0,CASE,RT03_WRONG_SKU,83.61,ASM,,RESTOCK,APPROVED
