route_id,route_code,route_name,warehouse_id,planned_stops,planned_km,vehicle_type,is_reefer,cost_per_km,shift,service_frequency,active_from,active_to,status,region_id
1,RT0001,Route 1,6,14,99.2,EICHER_14FT,0,23.07,MORNING,WEEKLY,2024-04-01,,ACTIVE,4
2,RT0002,Route 2,4,31,84.2,REEFER_17FT,1,20.72,MORNING,ALT_DAY,2024-04-01,,ACTIVE,2
3,RT0003,Route 3,3,26,153.4,EICHER_14FT,0,33.89,EVENING,ALT_DAY,2024-04-01,,ACTIVE,2
4,RT0004,Route 4,1,13,56.9,EICHER_14FT,0,18.11,EVENING,DAILY,2024-04-01,,ACTIVE,1
5,RT0005,Route 5,2,26,81.3,TEMPO_407,0,36.2,MORNING,WEEKLY,2024-04-01,,ACTIVE,1
6,RT0006,Route 6,2,19,170.8,REEFER_17FT,1,21.66,MORNING,DAILY,2024-04-01,,ACTIVE,1
7,RT0007,Route 7,8,23,57.2,TATA_ACE,0,25.07,EVENING,ALT_DAY,2024-04-01,,ACTIVE,5
8,RT0008,Route 8,5,20,65.9,REEFER_17FT,1,29.81,MORNING,ALT_DAY,2024-04-01,,ACTIVE,3
9,RT0009,Route 9,8,19,102.5,TATA_ACE,0,23.74,MORNING,DAILY,2024-04-01,,ACTIVE,5
10,RT0010,Route 10,8,32,177.9,EICHER_14FT,0,30.6,MORNING,ALT_DAY,2024-04-01,,ACTIVE,5
11,RT0011,Route 11,1,13,42.2,REEFER_17FT,1,30.59,MORNING,DAILY,2024-04-01,,ACTIVE,1
12,RT0012,Route 12,2,14,179.7,TATA_ACE,0,23.3,MORNING,DAILY,2024-04-01,,ACTIVE,1
13,RT0013,Route 13,8,19,114.8,EICHER_14FT,0,40.74,MORNING,DAILY,2024-04-01,,ACTIVE,5
14,RT0014,Route 14,6,11,152.0,EICHER_14FT,0,41.15,MORNING,WEEKLY,2024-04-01,,ACTIVE,4
15,RT0015,Route 15,1,10,53.1,EICHER_14FT,0,30.33,EVENING,ALT_DAY,2024-04-01,,ACTIVE,1
16,RT0016,Route 16,6,23,203.0,TATA_ACE,0,37.59,MORNING,ALT_DAY,2024-04-01,,ACTIVE,4
17,RT0017,Route 17,2,19,70.2,TEMPO_407,0,24.72,MORNING,ALT_DAY,2024-04-01,,ACTIVE,1
18,RT0018,Route 18,3,14,140.9,TATA_ACE,0,38.24,MORNING,DAILY,2024-04-01,,ACTIVE,2
19,RT0019,Route 19,7,26,74.9,TATA_ACE,0,41.68,MORNING,DAILY,2024-04-01,,ACTIVE,2
20,RT0020,Route 20,4,20,78.8,REEFER_17FT,1,36.14,MORNING,DAILY,2024-04-01,,ACTIVE,2
21,RT0021,Route 21,6,31,90.0,EICHER_14FT,0,26.14,MORNING,DAILY,2024-04-01,,ACTIVE,4
22,RT0022,Route 22,7,23,109.8,TATA_ACE,0,32.17,MORNING,ALT_DAY,2024-04-01,,ACTIVE,2
23,RT0023,Route 23,6,22,66.4,REEFER_17FT,1,33.85,MORNING,ALT_DAY,2024-04-01,,ACTIVE,4
24,RT0024,Route 24,1,11,182.5,TATA_ACE,0,32.13,EVENING,WEEKLY,2024-04-01,,ACTIVE,1
25,RT0025,Route 25,4,27,141.7,EICHER_14FT,0,35.92,MORNING,DAILY,2024-04-01,,ACTIVE,2
26,RT0026,Route 26,4,25,179.9,EICHER_14FT,0,37.99,MORNING,DAILY,2024-04-01,,ACTIVE,2
